sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
e36fbebbd9a00db5c31da4e517edd42fc34b3ddd3a36c17060e1a28e6108b834,385024,1,23.0,0.0,23.0,23.0,62,68,8,62,27.8226,0,62,645,1,26.0,Windows,Emotet,MalwareBazaar
de5f128ee8537d5bcb1da064cac431b078711c1f23ffc194b3d99af6ad4fd1e2,19757234,0,96.0,0.0,96.0,96.0,70,121,53,70,19.5286,0,70,36822,1719,12.0,Android,Android.Trojan.Overlay,MalwareBazaar
e0171574e8d547f7ae80a7769ab84012feb1d97098dc9c5cfb04493a448fc28c,18938087,0,33.0,0.0,33.0,33.0,64,96,34,64,20.2812,0,64,55422,4005,4.0,Android,Android.Generic,MalwareBazaar
db569ce32ddc273252f865f249db01aaf577814a942ad3b4ed53f0210d772912,8097792,1,86.0,0.0,86.0,86.0,159,213,56,159,57.1069,0,159,38908,557,46.0,Windows,Amadey,MalwareBazaar
decb369af57bda89e618678901c0e82c77ce27ae0cabea5a70c958cd36dd1d57,1419912,0,26.0,0.0,26.0,26.0,140,161,23,140,60.4429,0,140,4225,247,22.0,Windows,Smoke Loader,MalwareBazaar
df384f9aaa8c3a194e2225d9f3b577d9bbda92f390ad15f3f812c3770909f9e8,2649555,0,49.0,0.0,49.0,49.0,12,29,19,12,3.4167,0,12,3788,3,4.0,Android,Android.Trojan.Overlay,MalwareBazaar
da14370b1171c104ed98bc9da510182995bc36dd0d18d70113fafde5a5071477,1635328,0,60.0,0.0,60.0,60.0,5032,6284,1254,79,33.0,13,403,6275,91,26.0,Windows,Win.Suspicious.Generic,MalwareBazaar
dd6bd18b879ab9ad503c4c091c480a8907d11767167d4ec8ac5ff4e9648dd104,254976,0,39.0,0.0,39.0,39.0,46,52,8,46,19.9348,0,46,3008,160,0.0,Windows,Emotet,MalwareBazaar
d9bdd75c2f3bdc67d6d44f211b170e3a5a9487719afe7430857178e60b988c2d,2179584,1,24.0,0.0,24.0,24.0,112,119,9,112,52.6786,0,112,5813,4,22.0,Windows,CoinMiner,MalwareBazaar
d787c7dd04ddb7ff7904970df06b24ffe4c5326581c1e273a00253bc0b9afae3,18457284,0,29.5,0.0,29.5,29.5,50,64,16,50,18.94,0,50,42240,352,8.0,Android,Joker,MalwareBazaar
da358ee183526c39b4f3d2172b7f21819d815f516c44a6c5c5a398ffe398f5da,48640,0,16.0,0.0,16.0,16.0,25,33,10,25,9.2,0,25,532,30,0.0,Windows,Win.Generic,MalwareBazaar
4cadc2410199dfadc1d71b19569e93080e0409ae003d8907d7b23402678ba570,1081842,1,29.0,0.0,29.0,29.0,121,131,12,121,55.3471,0,121,231,18,0.0,Windows,Emotet,MalwareBazaar
d8c0423df1e916ba240b74112599bce944ab17bf55b03a7912f63718ff8e6c53,58368,0,13.0,0.0,13.0,13.0,581,684,105,37,18.5135,11,345,147,1,38.0,Windows,Heodo,MalwareBazaar
e901dcfb4d25e5c698da05f89e15acf593ccdb6f21db04bf779c30e99b9010c6,16891,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,24,1,0.0,Unknown,Unknown.Generic,Local
d778ecb3738036fe02b0cc768417d7f4101d2c22111ae3c4cddc6489802b2d4b,431618,0,37.0,0.0,37.0,37.0,7,14,9,7,2.5714,0,7,889,1,4.0,Android,Android.Trojan.Overlay,MalwareBazaar
d6a2869ee450abd15fbd16519d83271f9c60dcba79540675da72726a767f1bc5,2908147,0,18.0,0.0,18.0,18.0,11,17,8,11,3.8182,0,11,10401,270,8.0,Android,Android.Generic,MalwareBazaar
d41a27ee5d4b12f6c94e73cc453c69b20ff92ce29823b0ff5bcc50c0d61f826e,119568,0,38.0,0.0,38.0,38.0,27,65,40,27,6.2222,0,27,254,1,30.0,Android,Arsink,MalwareBazaar
ceec4a8c3e789ee5bd081661fa8e74342f8609ffc32d20c3f2626c4d22723989,7170502,0,37.0,0.0,37.0,37.0,138,165,29,138,57.0217,0,138,24081,5977,32.0,Windows,RustyStealer,MalwareBazaar
d4306793db4a81f08309f90f6698596540360305eb61317cfe9c485fa589d263,250880,1,31.0,0.0,31.0,31.0,46,53,9,46,19.9348,0,46,737,8,32.0,Windows,Emotet,MalwareBazaar
d4ac44b7f6db48eca45b5a6c466d32472bb55d9e90371d801dfb63c75aa61123,2056832,0,26.0,0.0,26.0,26.0,140,161,23,140,60.4429,0,140,5549,277,16.0,Windows,Vidar,MalwareBazaar
d5487f85460486ebc0b5e31cbcd6b88ac7db069a09b51595a95d74f80776ba64,809472,0,20.0,0.0,20.0,20.0,111,117,8,111,52.1802,0,111,5157,301,0.0,Windows,Win.Generic,MalwareBazaar
d2d4f3c29e7b3d82747203bf108828714613c8762efb9150b8bd13b4b16d560a,1008440,1,47.0,0.0,47.0,47.0,142,174,34,142,56.6549,0,142,2055,56,22.0,Windows,Win.Packed.Generic,MalwareBazaar
d31afbeed9cfdb323aed6a4d1ae74ddd9d50b25474913d7bef8a3ff3299adff5,94208,0,0.0,0.0,0.0,0.0,41,53,14,41,15.3659,0,41,29,1,0.0,Windows,AdaptixC2,MalwareBazaar
d33a08e10593effc2e5bd990a67c3759bfdeebf6d91ec5055d4bd4ad5fa07b43,383488,1,23.0,0.0,23.0,23.0,61,67,8,61,27.3279,0,61,685,1,26.0,Windows,Emotet,MalwareBazaar
d41329e084ad90a62c37e906f18e1089002f4d5e7c5ce123f7753da90e410372,4770986,0,22.0,0.0,22.0,22.0,6,8,4,6,2.5,0,6,14577,263,30.0,Android,Arsink,MalwareBazaar
d22d9a9147b8c5b78a60e0775993ad103b6674d2f8468b5b58fae1b23b1561a3,2080806,0,24.5,0.0,24.5,24.5,7,14,9,7,2.5714,0,7,11639,269,4.0,Android,Mirai,MalwareBazaar
d120c25f77b8dfe9182aa2ac5ce44b8ca76ab77e12b65f98620069c07cbf8ccd,978944,0,33.0,0.0,33.0,33.0,155,212,59,155,54.6129,0,155,1203,67,48.0,Windows,Emotet,MalwareBazaar
cd8df31a2f6ffc80ceb8152c0c0f687b0f0d3e896163163a50cc03808b712efb,1033728,0,50.0,0.0,50.0,50.0,9321,12066,2747,80,34.8,15,352,4279,66,48.0,Windows,Win.Suspicious.Generic,MalwareBazaar
cf363f44fb75c84ba52264bfed96d54a4c6a1376aab75e38e8f2b6973db18e93,1057280,0,23.0,0.0,23.0,23.0,134,161,29,134,55.0672,0,134,672,50,22.0,Windows,Yunsip,MalwareBazaar
d07e58393036362b47d85ef55b250f67dc5880cfb59b463e0e454af8fe096592,221288,0,21.0,0.0,21.0,21.0,68,93,27,68,24.1765,0,68,720,14,22.0,Windows,Emotet,MalwareBazaar
ceb0531da29f76ad3bc86795f8dac3c5f04de044deb175ba79c850b0d57a8a3b,733696,0,48.0,0.0,48.0,48.0,5848,7371,1525,73,30.7534,16,343,3550,57,30.0,Windows,Win.Suspicious.Generic,MalwareBazaar
cdc057b7c772e3ac5f6074b374c0c7fd7903ca5aa3fa19e45ef9c4921e11c89c,609792,0,18.0,0.0,18.0,18.0,115,141,28,115,45.8261,0,115,1419,79,6.0,Windows,Emotet,MalwareBazaar
cdc51734d5dc594256d3bd58c0cfb26821b88f9d782cd9d84f73779f7086c83b,121344,0,26.0,0.0,26.0,26.0,58,83,27,58,19.6379,0,58,683,13,44.0,Windows,Win.Generic,MalwareBazaar
ce7d25b4f5fdee33a3b1f72c92abb2c907a2dc8347442fb8c7940e9616a17dc8,1610792,1,47.0,0.0,47.0,47.0,116,124,10,116,53.7586,0,116,1783,104,0.0,Windows,MimiKatz,MalwareBazaar
cbc0acf15888581c45998c59c1ab23f0994a0e0af1b85f60db9e2de2b0d86297,3840869,0,25.0,0.0,25.0,25.0,144,170,28,144,59.9583,0,144,6585,24,32.0,Windows,Socks5Systemz,MalwareBazaar
cbf644b3dc49a4148301cb941e3b693615a3e2b61169fc62a23fe59184297a1f,384512,1,23.0,0.0,23.0,23.0,61,67,8,61,27.3279,0,61,657,1,26.0,Windows,Emotet,MalwareBazaar
ccfeb50d9a9eadf66635a9506c1b3b1eeff8139b7c47f81301693d86786007e6,84480,0,13.0,0.0,13.0,13.0,583,685,104,39,19.2308,11,346,222,2,38.0,Windows,Heodo,MalwareBazaar
